"","Date.Time","Main_Mass_Flow","Additive_1_Ratio","Additive_2_Ratio","Additive_3_Ratio","Additive_4_Ratio","Additive_5_Ratio","Additive_6_Ratio","Flow_Gas_Ratio","Pressure","T_Zone_1","T_Zone_2","T_Zone_3","T_Zone_4","T_Zone_5","T_Zone_6","T_Zone_7","T_Zone_8","T_Zone_9","T_Zone_10","Blending","Quality"
"1263611",2017-03-28 20:00:00,20816.896484375,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.09126162528992,0,197.309066772461,190.002792358398,196.365112304688,174.158813476562,176.796310424805,178.851913452148,170.874298095703,177.584518432617,179.238922119141,168.402114868164,28,46.88
"1264301",2017-03-28 21:09:00,20323.4296875,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.10172486305237,0,195.164031982422,189.530242919922,195.494567871094,173.707046508789,174.985809326172,177.145065307617,169.774078369141,176.763412475586,178.972702026367,167.968856811523,28,46.5825
"1264951",2017-03-28 22:14:00,20804.33984375,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.02733182907104,0,194.895462036133,189.507354736328,195.625900268555,173.895446777344,175.380798339844,177.377151489258,169.548599243164,177.024993896484,178.722717285156,167.460632324219,28,46.285
"1265551",2017-03-28 23:14:00,20819.154296875,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.00617003440857,0,194.379165649414,189.583297729492,195.299011230469,173.819473266602,175.051971435547,177.768951416016,169.761337280273,176.430999755859,178.30158996582,168.554275512695,28,45.9875
"1266111",2017-03-29 00:10:00,20816.275390625,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,2.98636817932129,0,194.655624389648,189.212753295898,196.238403320312,174.242767333984,175.392333984375,176.919403076172,169.211837768555,176.203552246094,178.736862182617,168.592010498047,28,45.69
"1266661",2017-03-29 01:05:00,20807.49609375,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,2.98812103271484,0,194.3408203125,188.390991210938,194.765151977539,173.036590576172,172.755004882812,174.213195800781,165.954681396484,173.301452636719,176.378479003906,166.875640869141,28,45.73
"1267281",2017-03-29 02:07:00,20813.666015625,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.01210761070251,0,194.799896240234,189.143753051758,194.743591308594,173.554504394531,173.484466552734,175.686737060547,167.021896362305,173.992126464844,176.809295654297,166.512939453125,28,45.77
"1267811",2017-03-29 03:00:00,20800.181640625,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,2.99158763885498,0,194.47380065918,188.969329833984,195.122451782227,173.494613647461,175.135116577148,177.479751586914,169.808929443359,176.771057128906,178.878753662109,167.88639831543,28,45.81
"1268431",2017-03-29 04:02:00,20808.462890625,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,2.99208092689514,0,194.729827880859,188.677688598633,195.034683227539,173.642486572266,173.610641479492,176.189270019531,168.380187988281,175.775238037109,178.394729614258,167.941162109375,28,45.85
"1278191",2017-03-29 20:18:00,7.80410409788601e-05,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.00126600265503,0,52.1756439208984,71.7958526611328,81.9426574707031,108.046440124512,138.724243164062,131.138916015625,113.997367858887,103.067230224609,85.7048110961914,65.084831237793,0,47.64
"1278751",2017-03-29 21:14:00,7.80410409788601e-05,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.00472116470337,0,50.5135116577148,71.4074172973633,83.1743392944336,118.548805236816,144.88996887207,144.296127319336,141.949523925781,138.207122802734,130.290145874023,115.579788208008,0,47.72
"1279251",2017-03-29 22:04:00,4889.8232421875,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.00375509262085,0,152.324584960938,187.949859619141,178.867523193359,172.062805175781,193.895202636719,196.069961547852,191.933151245117,185.645797729492,174.30305480957,155.141555786133,0,47.8
"1279841",2017-03-29 23:03:00,19033.001953125,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,2.99898934364319,0,199.477020263672,190.534439086914,195.596099853516,175.019592285156,178.78547668457,182.751525878906,177.542587280273,183.240005493164,185.951950073242,179.06999206543,0,46.54
"1280521",2017-03-30 00:11:00,19233.251953125,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.00573086738586,0,195.994812011719,189.699996948242,195.727981567383,176.323150634766,179.723907470703,183.332870483398,178.005401611328,183.604843139648,186.023742675781,179.993698120117,0,45.28
"1281121",2017-03-30 01:11:00,19265.1484375,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.01115036010742,0,196.364761352539,190.397232055664,196.266296386719,176.495956420898,176.967468261719,180.780410766602,175.253570556641,182.248001098633,185.264526367188,178.527862548828,0,45.2825
